site_name,center_lat,center_lon,site_type,measurements_collected,timestamp,gradient_nt_per_km,inner_field_avg,outer_field_avg,measurement_count
"Farewell Spit, NZ",-40.5,172.8,hotspot,8,2025-05-31T05:48:24.122976,-1.93,56209.5,56306.0,8
"Cape Cod, USA",41.7,-70.0,hotspot,8,2025-05-31T05:48:33.596034,-1.675,52270.75,52354.5,8
"Tasmania, Australia",-40.8,144.7,hotspot,8,2025-05-31T05:48:43.064890,-1.01,61471.5,61522.0,8
"Norfolk, UK",52.9,1.3,hotspot,8,2025-05-31T05:48:52.553570,0.235,49011.75,49000.0,8
"Golden Bay, NZ",-40.7,172.7,hotspot,8,2025-05-31T05:49:02.011971,-1.935,56329.0,56425.75,8
"Chatham Islands, NZ",-43.9,-176.5,hotspot,8,2025-05-31T05:49:11.492310,-2.065,55371.0,55474.25,8
"Prince Edward Island, Canada",46.5,-63.8,hotspot,8,2025-05-31T05:49:20.981664,1.85,53241.75,53149.25,8
"Orkney Islands, Scotland",59.0,-3.0,hotspot,8,2025-05-31T05:49:30.490060,-0.055,50495.25,50498.0,8
Dutch Wadden Sea,53.4,6.2,control,8,2025-05-31T05:49:40.019274,0.375,49293.25,49274.5,8
Norwegian Coast,69.6,18.9,control,8,2025-05-31T05:49:49.489866,0.91,53223.25,53177.75,8
Chilean Coast,-33.6,-71.6,control,8,2025-05-31T05:49:58.982261,-1.405,24446.25,24516.5,8
Portuguese Coast,41.1,-8.6,control,8,2025-05-31T05:50:08.467930,0.2,44754.5,44744.5,8
South African Coast,-34.4,18.4,control,8,2025-05-31T05:50:17.949804,0.685,25802.5,25768.25,8
Japanese Coast,35.7,140.1,control,8,2025-05-31T05:50:27.435953,-2.215,46193.25,46304.0,8
Brazilian Coast,-23.0,-43.2,control,8,2025-05-31T05:50:36.911125,0.565,23302.75,23274.5,8
