anomaly_mean_nT,anomaly_range_nT,anomaly_std_nT,center_lat,center_lon,coast_azimuth_deg,grad_coast_angle_deg,gradient_max_nT_per_km,gradient_mean_nT_per_km,gradient_std_nT_per_km,mean_grad_azimuth_deg,n_data_points,n_inner_points,site_name,site_type
-56.64,239.14,29.1,-40.51,172.77,90.0,48.29,10.4912,1.5795,1.488,131.71,3600,900,"Farewell Spit, NZ",hotspot
-18.98,268.85,70.47,41.93,-70.03,0.0,41.39,15.5467,4.4251,2.8073,131.39,3600,900,"Cape Cod, USA",hotspot
-29.16,366.86,76.24,-40.78,172.85,90.0,54.21,12.4375,2.6062,2.7152,125.79,3660,930,"Golden Bay, NZ",hotspot
-33.94,266.55,56.73,-43.95,-176.55,0.0,82.85,9.2872,2.6484,2.113,172.85,3721,961,"Chatham Islands, NZ",hotspot
101.24,251.69,58.22,59.25,-2.57,0.0,13.19,19.547,4.512,2.9083,103.19,3401,930,"Orkney, Scotland",hotspot
-39.93,113.53,23.53,52.9,1.3,0.0,24.91,4.4703,1.1196,0.7596,245.09,3600,900,"Norfolk, UK",hotspot
120.84,263.82,54.14,46.51,-63.42,90.0,38.49,11.1043,3.259,1.7667,141.51,3600,900,"Prince Edward Is, Canada",hotspot
-1.02,161.81,22.58,-42.18,145.33,0.0,85.07,6.7535,1.5052,1.1366,355.07,3600,900,"Tasmania, Australia",hotspot
-0.94,59.24,14.17,53.41,6.12,90.0,47.02,2.5368,1.1774,0.4572,312.98,3437,900,Dutch Wadden Sea,control
60.39,249.52,52.18,27.85,-97.17,0.0,61.96,9.3319,3.1719,1.3669,331.96,3371,930,"Matagorda-Padre, TX",control
53.92,70.52,15.86,20.22,-16.28,0.0,70.54,3.4674,0.7959,0.7419,160.54,1463,153,"Banc d'Arguin, Mauritania",control
50.21,856.85,184.63,69.6,18.9,0.0,10.44,44.7681,16.2271,9.9755,259.56,3267,900,Norwegian Coast,control
14.83,93.85,19.15,41.1,-8.6,0.0,68.46,4.2823,1.1062,0.6619,158.46,3429,900,Portuguese Coast,control
-20.79,94.3,23.17,-34.4,18.4,90.0,43.08,3.1697,1.2465,0.6435,223.08,3600,900,South Africa,control
-9.84,90.56,20.11,35.7,140.85,0.0,40.64,3.8103,1.3466,0.6877,49.36,3658,930,Japanese Coast,control
