F_diff_nT,F_gradient_nT_per_km,F_landward,F_regression_r2,F_regression_slope,F_seaward,I_diff_deg,I_gradient_deg_per_km,I_landward,I_regression_r2,I_regression_slope,I_seaward,center_lat,center_lon,gradient_direction,seaward_direction,site_name,site_type,transect_direction,transect_km
65.41,4.3607,56302.87,1.0,4.3606,56237.46,-0.1083,-0.00722,-66.2792,1.0,-0.00722,-66.1709,-40.51,172.77,landward,north,"Farewell Spit, NZ",hotspot,north_south,15.0
-34.93,-2.3287,52411.96,0.999999,-2.3288,52446.89,-0.0417,-0.00278,67.2999,1.0,-0.00278,67.3416,41.93,-70.03,seaward,west,"Cape Cod (Wellfleet), USA",hotspot,east_west,15.0
65.14,4.3427,56415.34,1.0,4.3426,56350.2,-0.1076,-0.007173,-66.4796,1.0,-0.007174,-66.372,-40.78,172.85,landward,north,"Golden Bay, NZ",hotspot,north_south,15.0
43.27,2.8847,55479.96,1.0,2.8846,55436.69,-0.0358,-0.002387,-66.8341,0.999997,-0.002388,-66.7983,-43.95,-176.55,landward,east,"Chatham Islands, NZ",hotspot,east_west,15.0
0.53,0.0353,50553.74,0.995994,0.0354,50553.21,-0.0015,-0.0001,72.0701,1.0,-0.0001,72.0716,59.25,-2.57,landward,east,"Orkney (Sanday), Scotland",hotspot,east_west,15.0
-5.23,-0.3487,49003.29,0.999985,-0.3486,49008.52,-0.0065,-0.000433,67.6329,0.999914,-0.000432,67.6394,52.9,1.3,seaward,east,"Norfolk, UK",hotspot,east_west,15.0
-54.44,-3.6293,53097.2,0.999999,-3.6294,53151.64,-0.1012,-0.006747,69.1824,1.0,-0.006748,69.2836,46.51,-63.42,seaward,north,"Prince Edward Island, Canada",hotspot,north_south,15.0
-21.74,-1.4493,62017.12,0.999998,-1.4492,62038.86,0.0262,0.001747,-72.3283,0.999992,0.001746,-72.3545,-42.18,145.33,seaward,west,"Tasmania (west coast), Australia",hotspot,east_west,15.0
-34.38,-2.292,49266.42,1.0,-2.2918,49300.8,-0.1012,-0.006747,68.1345,0.999999,-0.006746,68.2357,53.41,6.12,seaward,north,Dutch Wadden Sea,control,north_south,15.0
-8.78,-0.5853,46620.02,0.999985,-0.5854,46628.8,-0.0214,-0.001427,56.9997,0.999988,-0.001426,57.0211,27.85,-97.17,seaward,east,"Matagorda-Padre Island, TX",control,east_west,15.0
7.37,0.4913,34824.37,0.999996,0.4912,34817.0,-0.0248,-0.001653,21.1555,0.999991,-0.001654,21.1803,20.22,-16.28,landward,west,"Banc d'Arguin, Mauritania",control,east_west,15.0
19.58,1.3053,53209.36,0.99999,1.3054,53189.78,0.0097,0.000647,78.117,0.999942,0.000646,78.1073,69.6,18.9,landward,west,Norwegian Coast (Tromso),control,east_west,15.0
4.68,0.312,44751.73,0.999992,0.312,44747.05,0.0028,0.000187,55.9499,0.999548,0.000188,55.9471,41.1,-8.6,landward,west,Portuguese Coast,control,east_west,15.0
17.02,1.1347,25791.82,0.999981,1.1346,25774.8,-0.0318,-0.00212,-65.9465,0.999982,-0.00212,-65.9147,-34.4,18.4,landward,south,South African Coast (False Bay),control,north_south,15.0
46.25,3.0833,46061.74,1.0,3.0834,46015.49,0.0276,0.00184,49.1167,1.0,0.00184,49.0891,35.7,140.85,landward,east,Japanese Coast (Choshi),control,east_west,15.0
