coast_azimuth_deg,grad_azimuth_deg,grad_dI_dE_deg_per_km,grad_dI_dN_deg_per_km,grad_magnitude_deg_per_km,inclination_at_center,isoline_azimuth_deg,isoline_coast_angle_deg,lat,lon,site_name,site_type
90.0,17.63,0.00229401,0.00722049,0.00757614,-66.22505083527474,107.63,17.63,-40.51,172.77,"Farewell Spit, NZ",hotspot
0.0,-21.92,-0.00278084,0.00691199,0.00745042,67.32077820352133,68.08,68.08,41.93,-70.03,"Cape Cod (Wellfleet), USA",hotspot
90.0,17.8,0.00230299,0.00717363,0.00753424,-66.42583530735403,107.8,17.8,-40.78,172.85,"Golden Bay, NZ",hotspot
0.0,19.7,0.00238843,0.00667227,0.00708687,-66.81619851507813,109.7,70.3,-43.95,-176.55,"Chatham Islands, NZ",hotspot
0.0,0.98,9.914e-05,0.00581253,0.00581337,72.07087122014487,90.98,89.02,59.25,-2.57,"Orkney (Sanday), Scotland",hotspot
0.0,3.59,0.00043749,0.00698198,0.00699568,67.63614833127552,93.59,86.41,52.9,1.3,"Norfolk, UK",hotspot
90.0,-24.61,-0.00309004,0.00674523,0.00741933,69.23300674804297,65.39,24.61,46.51,-63.42,"Prince Edward Island, Canada",hotspot
0.0,13.63,0.00174706,0.00720378,0.0074126,-72.34142095829404,103.63,76.37,-42.18,145.33,"Tasmania (west coast), Australia",hotspot
90.0,4.61,0.0005446,0.00675,0.00677194,68.18515864324841,94.61,4.61,53.41,6.12,Dutch Wadden Sea,control
0.0,9.0,0.0014275,0.00901262,0.00912497,57.01045819477678,99.0,81.0,27.85,-97.17,"Matagorda-Padre Island, TX",control
0.0,-4.77,-0.00165486,0.0198379,0.0199068,21.167835888097855,85.23,85.23,20.22,-16.28,"Banc d'Arguin, Mauritania",control
0.0,8.4,0.00064719,0.00438311,0.00443063,78.11207552280935,98.4,81.6,69.6,18.9,Norwegian Coast (Tromso),control
0.0,1.04,0.0001926,0.01062407,0.01062582,55.94847087220919,91.04,88.96,41.1,-8.6,Portuguese Coast,control
90.0,134.32,0.00216979,-0.00211899,0.00303284,-65.93070852453576,224.32,45.68,-34.4,18.4,South African Coast (False Bay),control
0.0,-9.25,-0.00183892,0.01129039,0.01143916,49.10289182438788,80.75,80.75,35.7,140.85,Japanese Coast (Choshi),control
