chl_anomaly,chl_score,chlorophyll,had_stranding,month,risk_score,season_score,sst,sst_anomaly,sst_score,year
-0.0679,0.4661,0.8162,False,1,0.3673,0.2778,17.7,-0.21,0.4474,2003
0.2332,0.6166,0.9717,False,2,0.4071,0.3333,18.07,-0.619,0.3453,2003
-0.1882,0.4059,0.5269,False,3,0.2616,0.0556,18.26,0.118,0.5295,2003
-0.1675,0.4163,0.6345,False,4,0.2778,0.0,18.1,0.78,0.695,2003
-0.2672,0.3664,0.7114,False,5,0.2302,0.0,16.33,0.218,0.5545,2003
-0.2363,0.3819,0.7144,False,6,0.2438,0.0,14.97,0.373,0.5933,2003
-0.0865,0.4568,0.8691,False,7,0.2751,0.0,14.31,0.575,0.6437,2003
-0.2838,0.3581,0.7106,False,8,0.2521,0.0,13.82,0.602,0.6504,2003
0.0142,0.5071,1.1173,False,9,0.2615,0.0,13.49,0.156,0.5391,2003
0.5845,0.7923,1.9196,False,10,0.3212,0.0,13.68,-0.03,0.4925,2003
0.0786,0.5393,1.3449,False,11,0.2837,0.1111,14.48,-0.507,0.3733,2003
0.6104,0.8052,1.6593,False,12,0.4287,0.2222,16.51,-0.14,0.4651,2003
0.5702,0.7851,1.4543,False,1,0.4526,0.2778,17.79,-0.121,0.4699,2004
0.8206,0.9103,1.5591,False,2,0.4853,0.3333,18.14,-0.542,0.3644,2004
0.5247,0.7624,1.2398,False,3,0.2469,0.0556,16.6,-1.543,0.1142,2004
0.1889,0.5945,0.9909,False,4,0.1486,0.0,15.19,-2.128,0,2004
-0.0422,0.4789,0.9365,False,5,0.1666,0.0,14.87,-1.25,0.1874,2004
-0.0557,0.4721,0.8949,False,6,0.1953,0.0,13.83,-0.764,0.309,2004
-0.0505,0.4748,0.9051,False,7,0.1757,0.0,12.64,-1.088,0.2279,2004
-0.2187,0.3907,0.7758,False,8,0.1936,0.0,12.76,-0.465,0.3837,2004
-0.0516,0.4742,1.0516,False,9,0.2119,0.0,12.83,-0.507,0.3733,2004
0.466,0.733,1.801,False,10,0.2747,0.0,13.17,-0.537,0.3658,2004
0.3078,0.6539,1.5741,False,11,0.3318,0.1111,14.8,-0.195,0.4512,2004
0.32,0.66,1.3689,False,12,0.2761,0.2222,14.35,-2.293,0,2004
0.0736,0.5368,0.9577,False,1,0.3058,0.2778,16.44,-1.477,0.1308,2005
-0.145,0.4275,0.5935,False,2,0.4117,0.3333,18.9,0.211,0.5527,2005
0.0672,0.5336,0.7823,False,3,0.2968,0.0556,18.31,0.17,0.5424,2005
-0.0759,0.4621,0.7261,False,4,0.2466,0.0,17.42,0.098,0.5244,2005
-0.161,0.4195,0.8176,False,5,0.1813,0.0,15.34,-0.777,0.3058,2005
-0.253,0.3735,0.6976,False,6,0.1907,0.0,14.16,-0.443,0.3892,2005
-0.2131,0.3935,0.7424,False,7,0.2012,0.0,13.38,-0.354,0.4115,2005
0.3397,0.6698,1.3342,False,8,0.293,0.0,13.23,0.008,0.502,2005
-0.0199,0.49,1.0832,False,9,0.3082,0.0,14.31,0.972,0.7429,2005
-0.338,0.331,0.997,False,10,0.2176,0.0,13.87,0.158,0.5394,2005
-0.3582,0.3209,0.9081,False,11,0.3058,0.1111,15.71,0.721,0.6802,2005
-0.0546,0.4727,0.9943,True,12,0.4021,0.2222,17.41,0.766,0.6914,2005
0.3527,0.6764,1.2368,True,1,0.3919,0.2778,17.26,-0.658,0.3355,2006
-0.0258,0.4871,0.7127,False,2,0.4441,0.3333,19.18,0.49,0.6225,2006
0.3755,0.6878,1.0906,False,3,0.2303,0.0556,16.63,-1.511,0.1223,2006
0.0272,0.5136,0.8292,False,4,0.2149,0.0,16.7,-0.617,0.3458,2006
-0.0354,0.4823,0.9432,False,5,0.2558,0.0,16.28,0.164,0.5409,2006
-0.0819,0.4591,0.8687,False,6,0.2223,0.0,14.32,-0.279,0.4302,2006
-0.1834,0.4083,0.7721,False,7,0.2009,0.0,13.31,-0.418,0.3954,2006
-0.1922,0.4039,0.8023,False,8,0.157,0.0,12.12,-1.104,0.2239,2006
-0.0436,0.4782,1.0596,False,9,0.2164,0.0,12.89,-0.451,0.3874,2006
-0.142,0.429,1.1931,False,10,0.2291,0.0,13.66,-0.05,0.4875,2006
0.2591,0.6296,1.5255,False,11,0.2616,0.1111,13.77,-1.222,0.1945,2006
0.4336,0.7168,1.4825,False,12,0.3561,0.2222,15.7,-0.948,0.263,2006
0.0231,0.5115,0.9072,False,1,0.3543,0.2778,17.31,-0.6,0.3499,2007
-0.0696,0.4652,0.6689,False,2,0.3758,0.3333,18.17,-0.514,0.3715,2007
0.216,0.608,0.9311,False,3,0.2816,0.0556,17.77,-0.371,0.4073,2007
0.1939,0.597,0.9959,False,4,0.1837,0.0,15.87,-1.448,0.1379,2007
0.0806,0.5403,1.0592,False,5,0.2313,0.0,15.66,-0.46,0.3851,2007
-0.1428,0.4286,0.8078,False,6,0.1963,0.0,14.02,-0.574,0.3565,2007
-0.2378,0.3811,0.7177,False,7,0.1989,0.0,13.39,-0.342,0.4146,2007
-0.0553,0.4724,0.9392,False,8,0.1949,0.0,12.45,-0.771,0.3073,2007
-0.0617,0.4692,1.0415,False,9,0.229,0.0,13.12,-0.212,0.4469,2007
0.0022,0.5011,1.3373,False,10,0.2107,0.0,13.08,-0.634,0.3415,2007
0.6559,0.8279,1.9222,False,11,0.3278,0.1111,14.04,-0.955,0.2612,2007
-0.0504,0.4748,0.9985,False,12,0.3835,0.2222,17.1,0.459,0.6147,2007
-0.1847,0.4077,0.6995,False,1,0.4072,0.2778,18.58,0.662,0.6656,2008
-0.236,0.382,0.5025,False,2,0.4288,0.3333,19.35,0.666,0.6666,2008
-0.0631,0.4684,0.6519,False,3,0.2915,0.0556,18.48,0.346,0.5864,2008
-0.1634,0.4183,0.6385,False,4,0.2738,0.0,18.02,0.707,0.6768,2008
-0.1827,0.4086,0.7959,False,5,0.2427,0.0,16.36,0.248,0.562,2008
-0.2609,0.3696,0.6897,False,6,0.2737,0.0,15.5,0.901,0.7252,2008
-0.0468,0.4766,0.9087,False,7,0.2247,0.0,13.42,-0.312,0.4221,2008
-0.2667,0.3667,0.7278,False,8,0.1929,0.0,12.84,-0.38,0.405,2008
0.1497,0.5748,1.2529,False,9,0.2734,0.0,13.41,0.075,0.5188,2008
-0.2016,0.3992,1.1335,False,10,0.2462,0.0,14.05,0.343,0.5856,2008
0.0181,0.5091,1.2844,False,11,0.3012,0.1111,14.88,-0.106,0.4734,2008
-0.0068,0.4966,1.0421,False,12,0.316,0.2222,15.94,-0.708,0.323,2008
0.0634,0.5317,0.9475,False,1,0.3994,0.2778,17.96,0.042,0.5105,2009
-0.0781,0.4609,0.6604,False,2,0.3251,0.3333,17.38,-1.309,0.1727,2009
0.133,0.5665,0.8481,False,3,0.214,0.0556,16.85,-1.287,0.1782,2009
0.0094,0.5047,0.8114,False,4,0.1917,0.0,16.37,-0.952,0.2621,2009
-0.1456,0.4272,0.833,False,5,0.163,0.0,15.02,-1.101,0.2247,2009
-0.1037,0.4481,0.8469,False,6,0.1832,0.0,13.74,-0.862,0.2845,2009
-0.204,0.398,0.7516,False,7,0.1685,0.0,12.84,-0.897,0.2758,2009
0.0725,0.5362,1.067,False,8,0.2456,0.0,13.01,-0.215,0.4462,2009
1.1376,1,2.2408,False,9,0.3668,0.0,13.2,-0.131,0.4671,2009
0.6135,0.8067,1.9485,False,10,0.298,0.0,13.25,-0.459,0.3852,2009
-0.1402,0.4299,1.1261,False,11,0.2252,0.1111,13.99,-1.005,0.2487,2009
0.1507,0.5753,1.1996,False,12,0.3,0.2222,15.37,-1.279,0.1802,2009
0.2233,0.6117,1.1074,False,1,0.304,0.2778,16.11,-1.804,0.0489,2010
0.1595,0.5798,0.898,False,2,0.4801,0.3333,19.38,0.697,0.6742,2010
0.1982,0.5991,0.9133,False,3,0.2292,0.0556,16.96,-1.174,0.2066,2010
0.2266,0.6133,1.0285,False,4,0.2415,0.0,16.73,-0.59,0.3525,2010
0.2021,0.6011,1.1808,False,5,0.2449,0.0,15.63,-0.486,0.3784,2010
-0.0894,0.4553,0.8613,False,6,0.2203,0.0,14.3,-0.297,0.4258,2010
0.3494,0.6747,1.305,False,7,0.2897,0.0,13.67,-0.064,0.4839,2010
0.104,0.552,1.0985,False,8,0.2798,0.0,13.49,0.269,0.5672,2010
0.0548,0.5274,1.158,False,9,0.2598,0.0,13.38,0.048,0.5119,2010
0.1684,0.5842,1.5035,False,10,0.2521,0.0,13.41,-0.303,0.4243,2010
-0.3645,0.3178,0.9019,False,11,0.2471,0.1111,14.78,-0.206,0.4484,2010
